"","Sensor_no.","Timestamp","Height","Volume"
"1","LDR1",124,319,1078.17248189974
"36","LDR1",138,319,1078.17248189974
"12","LDR2",152,306,1034.23441837404
"19","LDR3",166,293,990.296354848347
"20","LDR4",180,280,946.358291322652
"40","LDR4",193,280,946.358291322652
"21","LDR5",207,267,902.420227796958
"22","LDR6",221,254,858.482164271263
"43","LDR6",235,254,858.482164271263
"23","LDR7",249,241,814.544100745569
"45","LDR7",263,241,814.544100745569
"24","LDR8",276,228,770.606037219874
"47","LDR8",290,228,770.606037219874
"25","LDR9",304,215,726.667973694179
"49","LDR9",318,215,726.667973694179
"50","LDR9",332,215,726.667973694179
"2","LDR10",345,202,682.729910168485
"52","LDR10",359,202,682.729910168485
"53","LDR10",373,202,682.729910168485
"54","LDR10",387,202,682.729910168485
"3","LDR11",401,189,638.79184664279
"56","LDR11",415,189,638.79184664279
"57","LDR11",428,189,638.79184664279
"58","LDR11",442,189,638.79184664279
"59","LDR11",456,189,638.79184664279
"4","LDR12",470,176,594.853783117096
"61","LDR12",484,176,594.853783117096
"62","LDR12",498,176,594.853783117096
"63","LDR12",511,176,594.853783117096
"64","LDR12",525,176,594.853783117096
"65","LDR12",539,176,594.853783117096
"66","LDR12",553,176,594.853783117096
"67","LDR12",567,176,594.853783117096
"5","LDR13",581,163,550.915719591401
"69","LDR13",594,163,550.915719591401
"70","LDR13",608,163,550.915719591401
"71","LDR13",622,163,550.915719591401
"72","LDR13",636,163,550.915719591401
"73","LDR13",650,163,550.915719591401
"74","LDR13",664,163,550.915719591401
"35","LDR13",677,163,550.915719591401
"76","LDR13",691,163,550.915719591401
"37","LDR13",705,163,550.915719591401
"6","LDR14",719,150,506.977656065707
"39","LDR14",733,150,506.977656065707
"80","LDR14",747,150,506.977656065707
"41","LDR14",760,150,506.977656065707
"42","LDR14",774,150,506.977656065707
"83","LDR14",788,150,506.977656065707
"44","LDR14",802,150,506.977656065707
"85","LDR14",816,150,506.977656065707
"46","LDR14",830,150,506.977656065707
"87","LDR14",843,150,506.977656065707
"48","LDR14",857,150,506.977656065707
"89","LDR14",871,150,506.977656065707
"90","LDR14",885,150,506.977656065707
"51","LDR14",899,150,506.977656065707
"92","LDR14",913,150,506.977656065707
"93","LDR14",926,150,506.977656065707
"7","LDR15",940,137,463.039592540012
"55","LDR15",954,137,463.039592540012
"96","LDR15",968,137,463.039592540012
"97","LDR15",982,137,463.039592540012
"98","LDR15",996,137,463.039592540012
"99","LDR15",1009,137,463.039592540012
"60","LDR15",1023,137,463.039592540012
"101","LDR15",1037,137,463.039592540012
"102","LDR15",1051,137,463.039592540012
"103","LDR15",1065,137,463.039592540012
"91","LDR15",1079,137,463.039592540012
"105","LDR15",1092,137,463.039592540012
"106","LDR15",1106,137,463.039592540012
"107","LDR15",1120,137,463.039592540012
"68","LDR15",1134,137,463.039592540012
"109","LDR15",1148,137,463.039592540012
"110","LDR15",1162,137,463.039592540012
"111","LDR15",1175,137,463.039592540012
"112","LDR15",1189,137,463.039592540012
"113","LDR15",1203,137,463.039592540012
"114","LDR15",1217,137,463.039592540012
"75","LDR15",1231,137,463.039592540012
"8","LDR16",1245,124,419.101529014317
"77","LDR16",1258,124,419.101529014317
"38","LDR16",1272,124,419.101529014317
"79","LDR16",1286,124,419.101529014317
"120","LDR16",1300,124,419.101529014317
"81","LDR16",1314,124,419.101529014317
"82","LDR16",1328,124,419.101529014317
"123","LDR16",1341,124,419.101529014317
"84","LDR16",1355,124,419.101529014317
"125","LDR16",1369,124,419.101529014317
"86","LDR16",1383,124,419.101529014317
"127","LDR16",1397,124,419.101529014317
"88","LDR16",1411,124,419.101529014317
"129","LDR16",1424,124,419.101529014317
"104","LDR16",1438,124,419.101529014317
"78","LDR16",1452,124,419.101529014317
"119","LDR16",1466,124,419.101529014317
"133","LDR16",1480,124,419.101529014317
"94","LDR16",1493,124,419.101529014317
"95","LDR16",1507,124,419.101529014317
"136","LDR16",1521,124,419.101529014317
"124","LDR16",1535,124,419.101529014317
"130","LDR16",1549,124,419.101529014317
"135","LDR16",1563,124,419.101529014317
"100","LDR16",1576,124,419.101529014317
"141","LDR16",1590,124,419.101529014317
"134","LDR16",1604,124,419.101529014317
"117","LDR16",1618,124,419.101529014317
"118","LDR16",1632,124,419.101529014317
"132","LDR16",1646,124,419.101529014317
"138","LDR16",1659,124,419.101529014317
"121","LDR16",1673,124,419.101529014317
"108","LDR16",1687,124,419.101529014317
"145","LDR16",1701,124,419.101529014317
"137","LDR16",1715,124,419.101529014317
"139","LDR16",1729,124,419.101529014317
"144","LDR16",1742,124,419.101529014317
"140","LDR16",1756,124,419.101529014317
"142","LDR16",1770,124,419.101529014317
"115","LDR16",1784,124,419.101529014317
"116","LDR16",1798,124,419.101529014317
"9","LDR17",1812,111,375.163465488623
"10","LDR18",1812,98,331.225401962928
"11","LDR19",1812,85,287.287338437234
"13","LDR20",1812,72,243.349274911539
"14","LDR21",1812,59,199.411211385845
"15","LDR22",1812,46,155.47314786015
"16","LDR23",1812,33,111.535084334455
"17","LDR24",1812,20,67.5970208087609
"18","LDR25",1812,7,23.6589572830663
"122","LDR25",1825,7,23.6589572830663
"143","LDR25",1839,7,23.6589572830663
"128","LDR25",1853,7,23.6589572830663
"126","LDR25",1867,7,23.6589572830663
"131","LDR25",1881,7,23.6589572830663
