"","Sensor_no.","Timestamp","Height","Volume"
"19","LDR3",27,293,990.296354848347
"29","LDR3",41,293,990.296354848347
"30","LDR3",55,293,990.296354848347
"1","LDR1",69,319,1078.17248189974
"12","LDR2",83,306,1034.23441837404
"33","LDR2",97,306,1034.23441837404
"34","LDR2",110,306,1034.23441837404
"35","LDR2",124,306,1034.23441837404
"36","LDR2",138,306,1034.23441837404
"37","LDR2",152,306,1034.23441837404
"38","LDR2",166,306,1034.23441837404
"11","LDR19",180,85,287.287338437234
"13","LDR20",180,72,243.349274911539
"14","LDR21",180,59,199.411211385845
"15","LDR22",180,46,155.47314786015
"16","LDR23",180,33,111.535084334455
"17","LDR24",180,20,67.5970208087609
"18","LDR25",180,7,23.6589572830663
"20","LDR4",180,280,946.358291322652
"47","LDR4",193,280,946.358291322652
"48","LDR4",207,280,946.358291322652
"49","LDR4",221,280,946.358291322652
"50","LDR4",235,280,946.358291322652
"51","LDR4",249,280,946.358291322652
"52","LDR4",263,280,946.358291322652
"53","LDR4",276,280,946.358291322652
"54","LDR4",290,280,946.358291322652
"21","LDR5",304,267,902.420227796958
"56","LDR5",318,267,902.420227796958
"57","LDR5",332,267,902.420227796958
"58","LDR5",346,267,902.420227796958
"22","LDR6",359,254,858.482164271263
"60","LDR6",373,254,858.482164271263
"23","LDR7",387,241,814.544100745569
"62","LDR7",401,241,814.544100745569
"63","LDR7",415,241,814.544100745569
"24","LDR8",428,228,770.606037219874
"65","LDR8",442,228,770.606037219874
"25","LDR9",456,215,726.667973694179
"67","LDR9",470,215,726.667973694179
"28","LDR9",484,215,726.667973694179
"2","LDR10",498,202,682.729910168485
"70","LDR10",511,202,682.729910168485
"31","LDR10",525,202,682.729910168485
"3","LDR11",539,189,638.79184664279
"73","LDR11",553,189,638.79184664279
"74","LDR11",567,189,638.79184664279
"75","LDR11",581,189,638.79184664279
"4","LDR12",594,176,594.853783117096
"77","LDR12",608,176,594.853783117096
"78","LDR12",622,176,594.853783117096
"39","LDR12",636,176,594.853783117096
"40","LDR12",650,176,594.853783117096
"41","LDR12",664,176,594.853783117096
"42","LDR12",677,176,594.853783117096
"5","LDR13",691,163,550.915719591401
"44","LDR13",705,163,550.915719591401
"45","LDR13",719,163,550.915719591401
"46","LDR13",733,163,550.915719591401
