"","Sensor_no.","Timestamp","Height","Volume"
"1","LDR1",69,319,1078.17248189974
"12","LDR2",83,306,1034.23441837404
"19","LDR3",97,293,990.296354848347
"20","LDR4",111,280,946.358291322652
"21","LDR5",111,267,902.420227796958
"22","LDR6",125,254,858.482164271263
"23","LDR7",125,241,814.544100745569
"24","LDR8",138,228,770.606037219874
"2","LDR10",152,202,682.729910168485
"25","LDR9",152,215,726.667973694179
"3","LDR11",166,189,638.79184664279
"4","LDR12",166,176,594.853783117096
"5","LDR13",180,163,550.915719591401
"6","LDR14",194,150,506.977656065707
"45","LDR14",208,150,506.977656065707
"7","LDR15",222,137,463.039592540012
"47","LDR15",235,137,463.039592540012
"8","LDR16",249,124,419.101529014317
"49","LDR16",263,124,419.101529014317
"50","LDR16",277,124,419.101529014317
"51","LDR16",291,124,419.101529014317
"52","LDR16",305,124,419.101529014317
"9","LDR17",318,111,375.163465488623
"17","LDR24",318,20,67.5970208087609
"55","LDR24",332,20,67.5970208087609
"56","LDR24",346,20,67.5970208087609
"57","LDR24",360,20,67.5970208087609
"58","LDR24",374,20,67.5970208087609
"59","LDR24",388,20,67.5970208087609
"60","LDR24",401,20,67.5970208087609
"61","LDR24",415,20,67.5970208087609
"62","LDR24",429,20,67.5970208087609
"10","LDR18",443,98,331.225401962928
"64","LDR18",457,98,331.225401962928
"65","LDR18",471,98,331.225401962928
"66","LDR18",484,98,331.225401962928
"67","LDR18",498,98,331.225401962928
"68","LDR18",512,98,331.225401962928
"69","LDR18",526,98,331.225401962928
"70","LDR18",540,98,331.225401962928
"31","LDR18",554,98,331.225401962928
"32","LDR18",567,98,331.225401962928
"33","LDR18",581,98,331.225401962928
"34","LDR18",595,98,331.225401962928
"35","LDR18",609,98,331.225401962928
"36","LDR18",623,98,331.225401962928
"37","LDR18",637,98,331.225401962928
"11","LDR19",650,85,287.287338437234
"39","LDR19",664,85,287.287338437234
"40","LDR19",678,85,287.287338437234
"41","LDR19",692,85,287.287338437234
"42","LDR19",706,85,287.287338437234
"43","LDR19",720,85,287.287338437234
"44","LDR19",733,85,287.287338437234
"85","LDR19",747,85,287.287338437234
"46","LDR19",761,85,287.287338437234
"87","LDR19",775,85,287.287338437234
"48","LDR19",789,85,287.287338437234
"89","LDR19",803,85,287.287338437234
"90","LDR19",816,85,287.287338437234
"78","LDR19",830,85,287.287338437234
"92","LDR19",844,85,287.287338437234
"53","LDR19",858,85,287.287338437234
"54","LDR19",872,85,287.287338437234
"95","LDR19",885,85,287.287338437234
"96","LDR19",899,85,287.287338437234
"97","LDR19",913,85,287.287338437234
"98","LDR19",927,85,287.287338437234
"99","LDR19",941,85,287.287338437234
"100","LDR19",955,85,287.287338437234
"101","LDR19",968,85,287.287338437234
"102","LDR19",982,85,287.287338437234
"63","LDR19",996,85,287.287338437234
"91","LDR19",1010,85,287.287338437234
"13","LDR20",1024,72,243.349274911539
"106","LDR20",1038,72,243.349274911539
"16","LDR23",1051,33,111.535084334455
"18","LDR25",1051,7,23.6589572830663
"109","LDR25",1065,7,23.6589572830663
"110","LDR25",1079,7,23.6589572830663
"71","LDR25",1093,7,23.6589572830663
"72","LDR25",1107,7,23.6589572830663
"73","LDR25",1121,7,23.6589572830663
"74","LDR25",1134,7,23.6589572830663
"75","LDR25",1148,7,23.6589572830663
"76","LDR25",1162,7,23.6589572830663
"77","LDR25",1176,7,23.6589572830663
"38","LDR25",1190,7,23.6589572830663
"79","LDR25",1204,7,23.6589572830663
"80","LDR25",1217,7,23.6589572830663
"81","LDR25",1231,7,23.6589572830663
"82","LDR25",1245,7,23.6589572830663
"83","LDR25",1259,7,23.6589572830663
"84","LDR25",1273,7,23.6589572830663
"125","LDR25",1287,7,23.6589572830663
"86","LDR25",1300,7,23.6589572830663
"127","LDR25",1314,7,23.6589572830663
"88","LDR25",1328,7,23.6589572830663
"129","LDR25",1342,7,23.6589572830663
"117","LDR25",1356,7,23.6589572830663
"118","LDR25",1370,7,23.6589572830663
"119","LDR25",1383,7,23.6589572830663
"93","LDR25",1397,7,23.6589572830663
"94","LDR25",1411,7,23.6589572830663
"135","LDR25",1425,7,23.6589572830663
"136","LDR25",1439,7,23.6589572830663
"137","LDR25",1453,7,23.6589572830663
"138","LDR25",1466,7,23.6589572830663
"139","LDR25",1480,7,23.6589572830663
"140","LDR25",1494,7,23.6589572830663
"141","LDR25",1508,7,23.6589572830663
"142","LDR25",1522,7,23.6589572830663
"103","LDR25",1536,7,23.6589572830663
"131","LDR25",1549,7,23.6589572830663
"105","LDR25",1563,7,23.6589572830663
"146","LDR25",1577,7,23.6589572830663
"107","LDR25",1591,7,23.6589572830663
"108","LDR25",1605,7,23.6589572830663
"145","LDR25",1619,7,23.6589572830663
"148","LDR25",1632,7,23.6589572830663
"111","LDR25",1646,7,23.6589572830663
"112","LDR25",1660,7,23.6589572830663
"113","LDR25",1674,7,23.6589572830663
"114","LDR25",1688,7,23.6589572830663
"115","LDR25",1702,7,23.6589572830663
"116","LDR25",1715,7,23.6589572830663
"104","LDR25",1729,7,23.6589572830663
"15","LDR22",1743,46,155.47314786015
"14","LDR21",1757,59,199.411211385845
"120","LDR21",1771,59,199.411211385845
"121","LDR21",1785,59,199.411211385845
"122","LDR21",1798,59,199.411211385845
"123","LDR21",1812,59,199.411211385845
"124","LDR21",1826,59,199.411211385845
"147","LDR21",1840,59,199.411211385845
"126","LDR21",1854,59,199.411211385845
"149","LDR21",1867,59,199.411211385845
"128","LDR21",1881,59,199.411211385845
"130","LDR21",1895,59,199.411211385845
"144","LDR21",1909,59,199.411211385845
"132","LDR21",1923,59,199.411211385845
"143","LDR21",1937,59,199.411211385845
"133","LDR21",1950,59,199.411211385845
"134","LDR21",1964,59,199.411211385845
"150","LDR21",1978,59,199.411211385845
