"","Sample","SeqRun","LibID","Read_no","ID","Line","Mean","Plant","Date","Year","Period","Configuration","Design","Design2","ReturnSludgeSidestream","PrimarySetling","Digester","lat","long","Solids_AerationTank_PointMeasurement","SolidsFraction_AerationTank_PointMeasurement","SVI","DSVI","ExtractionConc","LibraryConc"
"MQ221010-79","MQ221010-79","","LIB-Viby-LT-243",NA,"","","Activated sludge","Viby","2020-05-18",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-80","MQ221010-80","","LIB-Viby-LT-245",NA,"","","Activated sludge","Viby","2020-06-04",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-81","MQ221010-81","","LIB-Viby-LT-247",NA,"","","Activated sludge","Viby","2020-06-06",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-82","MQ221010-82","","LIB-Viby-LT-249",NA,"","","Activated sludge","Viby","2020-06-18",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-83","MQ221010-83","","LIB-Viby-LT-251",NA,"","","Activated sludge","Viby","2020-06-25",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-84","MQ221010-84","","LIB-Viby-LT-253",NA,"","","Activated sludge","Viby","2020-07-02",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-85","MQ221010-85","","LIB-Viby-LT-255",NA,"","","Activated sludge","Viby","2020-07-06",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-86","MQ221010-86","","LIB-Viby-LT-256",NA,"","","Activated sludge","Viby","2020-07-15",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-87","MQ221010-87","","LIB-Viby-LT-257",NA,"","","Activated sludge","Viby","2020-07-23",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-88","MQ221010-88","","LIB-Viby-LT-258",NA,"","","Activated sludge","Viby","2020-07-30",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-89","MQ221010-89","","LIB-Viby-LT-260",NA,"","","Activated sludge","Viby","2020-08-05",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-90","MQ221010-90","","LIB-Viby-LT-262",NA,"","","Activated sludge","Viby","2020-08-14",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-91","MQ221010-91","","LIB-Viby-LT-264",NA,"","","Activated sludge","Viby","2020-08-20",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-92","MQ221010-92","","LIB-Viby-LT-270",NA,"","","Activated sludge","Viby","2020-09-18",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-93","MQ221010-93","","LIB-Viby-LT-272",NA,"","","Activated sludge","Viby","2020-09-24",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-94","MQ221010-94","","LIB-Viby-LT-274",NA,"","","Activated sludge","Viby","2020-09-30",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-95","MQ221010-95","","LIB-Viby-LT-276",NA,"","","Activated sludge","Viby","2020-10-07",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-96","MQ221010-96","","LIB-Viby-LT-278",NA,"","","Activated sludge","Viby","2020-10-13",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-97","MQ221010-97","","LIB-Viby-LT-280",NA,"","","Activated sludge","Viby","2020-10-19",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-98","MQ221010-98","","LIB-Viby-LT-282",NA,"","","Activated sludge","Viby","2020-10-27",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-99","MQ221010-99","","LIB-Viby-LT-284",NA,"","","Activated sludge","Viby","2020-11-03",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-100","MQ221010-100","","LIB-Viby-LT-286",NA,"","","Activated sludge","Viby","2020-11-09",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-101","MQ221010-101","","LIB-Viby-LT-288",NA,"","","Activated sludge","Viby","2020-11-20",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-102","MQ221010-102","","LIB-Viby-LT-290",NA,"","","Activated sludge","Viby","2020-11-24",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"MQ221010-103","MQ221010-103","","LIB-Viby-LT-292",NA,"","","Activated sludge","Viby","2020-12-01",2020,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
