"","Date","Dilution.percent","n","SS","Velocity","velocity.slope","Velocity.intercept","NewVelocity"
"1","01.12.2022",10,10,0.443499999999995,1.93452380952381,-1.93452380952381,435.380952380952,6.96428571428572
"2","01.12.2022",20,5,0.817000000000019,1.98283346487766,-1.98283346487766,427.940410418311,7.13820047355958
"3","01.12.2022",30,3.333,1.1705,1.22418055301227,-1.22418055301227,367.667872184582,4.40704999084417
"4","01.12.2022",40,2.5,1.62400000000002,1.08150983421338,-1.08150983421338,370.366021812816,3.89343540316817
"5","01.12.2022",50,2,1.96,0.761703344803376,-0.761703344803376,344.863997642429,2.74213204129215
"6","01.12.2022",75,1.333,2.94,0.761703344803376,-0.761703344803376,344.863997642429,2.74213204129215
"7","01.12.2022",100,1,3.86,0.0778514341967017,-0.0778514341967017,339.036079725624,0.280265163108126
"8","18.01.2023",20,5,0.797999999999994,1.31456953642384,-1.31456953642384,414.587898856111,4.73245033112582
"9","18.01.2023",50,2,1.78500000000003,0.6602354259333,-0.6602354259333,350.446009975904,2.37684753335988
"10","18.01.2023",60,1.666,2.10400000000002,0.259506076048609,-0.259506076048609,341.122827649288,0.934221873774992
"11","18.01.2023",80,1.25,3.09200000000001,0.0491646341768194,-0.0491646341768194,332.943806882244,0.17699268303655
"12","18.01.2023",100,1,3.69,0.01613604243803,-0.01613604243803,304.410214862793,0.058089752776908
"13","18.01.2023",40,2.5,1.516,0.937674678591392,-0.937674678591392,370.227780883175,3.37562884292901
"14","18.01.2023",10,10,0.188999999999998,1.73041293397988,-1.73041293397988,535.059691679093,6.22948656232757
"15","22.02.2023",10,10,0.44,1.47128301357371,-1.47128301357371,426.9126302129,5.29661884886536
"16","22.02.2023",20,5,1.1,1.15180770675907,-1.15180770675907,385.513536926481,4.14650774433265
"17","22.02.2023",30,3.33,1.78,0.74262816643962,-0.74262816643962,353.504888689624,2.67346139918263
"18","22.02.2023",40,2.5,2.24,0.418678734752803,-0.418678734752803,355.440109096882,1.50724344511009
"19","22.02.2023",50,2,2.44,0.102064042931026,-0.102064042931026,317.554074655595,0.367430554551694
"20","22.02.2023",60,1.333,3.16,0.0286603894261642,-0.0286603894261642,307.497332463131,0.103177401934191
"21","22.02.2023",70,1.42,3.7,0.0253146785437647,-0.0253146785437647,297.354400658405,0.0911328427575529
"22","22.02.2023",60,1.667,3.16,0.0286603894261642,-0.0286603894261642,307.497332463131,0.103177401934191
"23","22.02.2023",80,1.25,3.88,0.0157798895177288,-0.0157798895177288,296.720984765185,0.0568076022638237
"24","22.02.2023",100,1,5.2,0.0129871023047953,-0.0129871023047953,300.634296341719,0.0467535682972631
"25","28.03.2023",100,1,4.26,0.00967062002715609,-0.00967062002715609,302.894208277202,0.0348142320977619
"26","28.03.2023",80,1.25,3.3,0.0140853726197121,-0.0140853726197121,294.836946692419,0.0507073414309636
"27","28.03.2023",60,1.66666666666667,2.72,0.176677897434839,-0.176677897434839,449.952515554271,0.63604043076542
"28","28.03.2023",50,2,2.08,0.468584139198544,-0.468584139198544,380.081957780106,1.68690290111476
"29","28.03.2023",40,2.5,1.98,0.639072107322526,-0.639072107322526,400.985075461151,2.30065958636109
"30","28.03.2023",30,3.33333333333333,1.42,0.928571428571431,-0.928571428571431,403.809523809524,3.34285714285715
"31","28.03.2023",20,5,0.96,1.13667740450989,-1.13667740450989,402.636723423838,4.0920386562356
