"","Date","Dilution.percent","n","SS","Velocity","velocity.slope","Velocity.intercept","SV30.intercept","SV30.slope","SV30","DSVI","Concentration","NewVelocity","Vesilindprediction12.12","Vesilindprediction09.01","SVI"
"7","16.09.2022",40,2.5,2.716,1.18395142763374,-1.18395142763374,364.316540859863,155.47314786015,2.29050197283496e-16,155.47314786015,143.108567617958,1.0864,4.26222513948146,4.46551693324043,3.17522647273449,57.2434270471834
"8","20.09.2022",40,2.5,2.324,1.18395142763374,-1.18395142763374,377.316540859863,277.162391818387,-0.0644011946025255,161.240241533841,173.451206469278,0.9296,4.26222513948146,5.086458505303,4.79793610184439,69.3804825877113
"10","21.09.2022",40,2.5,2.276,1.75352806038727,-1.75352806038727,468.55759763702,155.47314786015,2.29253841860778e-16,155.47314786015,170.774547298056,0.9104,6.31270101739417,5.16819905484528,5.04669527826091,68.3098189192223
"11","22.09.2022",40,2.5,2.448,1.63688992522313,-1.63688992522313,462.37316073008,297.228469088817,-0.0864517847121673,141.615256606916,144.623423822422,0.9792,5.89280373080327,4.88122933709761,4.2105954566551,57.849369528969
"12","23.09.2022",40,2.5,2.84,1.34607810961602,-1.34607810961602,378.146373482114,300.351748233037,-0.0915738691526958,135.518783758184,119.294704012486,1.136,4.84588119461767,4.2853416059748,2.78653026554634,47.7178816049944
"15","26.09.2022",40,2.5,2.816,2.03125,-2.03125,485.562500000001,242.138425816615,-0.0329815068415476,182.771713501829,162.261819515118,1.1264,7.3125,4.31963757813626,2.85785424853214,64.9047278060472
"16","27.09.2022",40,2.5,2.316,1.32954545454546,-1.32954545454546,375.579545454546,155.473147860149,1.31810270854702e-16,155.47314786015,167.825073251457,0.9264,4.78636363636366,5.09999159453267,4.83852768437674,67.1300293005829
"3","04.10.2022",40,2.5,2.764,1.06608280254777,-1.06608280254777,355.174363057325,240.013587068788,-0.0314841546990808,183.342108610442,165.830416615812,1.1056,3.83789808917197,4.39489004672931,3.01871479950235,66.3321666463249
"5","13.10.2022",40,2.5,3.256,1.421875,-1.421875,362.875000000001,155.473147860151,-2.28855040251702e-16,155.47314786015,119.374345715717,1.3024,5.11875,3.73232813711867,1.79807457451305,47.7497382862869
"9","20.10.2022",40,2.5,3.06,1.65689362733221,-1.65689362733221,410.705597286165,155.473147860151,-2.28855040251702e-16,155.47314786015,127.020545637378,1.224,5.96481705839596,3.98337966101804,2.21028143813326,50.808218254951
"4","08.11.2022",40,2.5,2.992,2.11038961038961,-2.11038961038961,437.294372294372,155.473147860151,-2.28855040251702e-16,155.47314786015,129.907376220045,1.1968,7.5974025974026,4.07436857851522,2.37436305207916,51.962950488018
"6","15.11.2022",40,2.5,3.448,0.928886875778509,-0.928886875778509,317.937643905938,155.473147860151,-2.28855040251702e-16,155.47314786015,112.727050362638,1.3792,3.34399275280263,3.50174819421907,1.46891683654311,45.0908201450551
"13","24.11.2022",40,2.5,2.772,1.85004775549189,-1.85004775549189,390.729703915951,265.057187237816,-0.104127186697338,77.6282511826078,70.0110490463634,1.1088,6.6601719197708,4.38322798061517,2.99339006873326,28.0044196185454
"14","24.11.2022",100,1,2.772,0.270234986945171,-0.270234986945171,364.165796344648,463.039592540011,6.65576520086025e-16,463.039592540012,167.041700050509,2.772,0.972845953002616,1.10160592405853,0.0375419961970443,167.041700050509
"17","28.11.2022",40,2.5,3.624,1.34607810961602,-1.34607810961602,378.146373482114,155.473147860151,-2.83582344772263e-16,155.47314786015,107.252447475269,1.4496,4.84588119461767,3.30291894963892,1.22040578698384,42.9009789901076
"18","28.11.2022",100,1,3.624,0.0390377158970745,-0.0390377158970745,304.163024321467,994.261992032924,-0.104067368399895,806.940728913114,222.665764048873,3.624,0.140535777229468,0.542982590252351,0.00398446231451411,222.665764048872
"1","05.12.2022",100,1,3.174,0.0429203096310943,-0.0429203096310943,309.537639391594,770.606037219881,-3.28340621936011e-15,770.606037219875,242.7870312602,3.174,0.154513114671939,0.788970457828112,0.0130281971221075,242.7870312602
"2","05.12.2022",40,2.5,3.174,1.25767334137839,-1.25767334137839,362.203628008915,155.47314786015,2.29050197283496e-16,155.47314786015,122.458371030364,1.2696,4.5276240289622,3.83537516192503,1.96024383788311,48.9833484121456
"19","12.12.2022",100,1,3.42,0.0165081657086804,-0.0165081657086804,292.702324764952,985.733094101269,-0.0511431224962761,893.675473607972,261.308618014027,3.42,0.0594293965512494,0.643206608240081,0.00681736177316518,261.308618014027
"20","12.12.2022",40,2.5,3.42,1.2154046997389,-1.2154046997389,353.677545691906,155.47314786015,2.29253841860778e-16,155.47314786015,113.649961886075,1.368,4.37545691906004,3.5344655560761,1.5128745089594,45.4599847544298
"21","22.12.2022",40,2.5,3.792,1.15714285714286,-1.15714285714286,375.285714285715,350.208250711679,-0.0789599471081388,208.08034591703,137.183772360911,1.5168,4.1657142857143,3.12366804188488,1.0225159199988,54.8735089443645
"22","03.01.2023",40,3,5.124,0.943864229765015,-0.943864229765015,410.373368146215,438.619846589085,-0.0903875662257044,275.922227382817,161.546971535607,2.0496,3.39791122715405,2.00692649989141,0.251469197064832,53.8489905118691
"23","09.01.2023",40,2.5,4.328,0.0287713908456856,-0.0287713908456856,290.05284288674,966.511759901594,-0.0742714532191906,832.823144107051,481.066973259618,1.7312,0.103577007044468,2.61426693404978,0.581476887261002,192.426789303847
"24","09.01.2023",100,1,4.328,0.018588907352808,-0.018588907352808,307.903087625598,1010.32961465302,-0.0302487069847243,955.88194208052,220.859968133207,4.328,0.0669200664701088,0.302632759536306,0.000624367401174257,220.859968133207
